Date,Ticker,Strike,Type,Last_Price,Amount_Money,Open,High,Low,Prev_Close,Volume_Units,Implied_Volatility,VE_Pct,Return,Original_Strike
2024-04-19,GFGC1200JU,1200.0,Call,1921.592,34391398.0,1961.0,1961.0,1851.02,1880.0,181.0,3.814697265625e-05,0.029294204929519445,0.022123404255319112,1200.0
2024-04-19,GFGC1640JU,1640.0,Call,0.0,0.0,0.0,0.0,0.0,1037.8,0.0,,,0.0,1640.0
2024-04-19,GFGC1710JU,1710.0,Call,0.0,0.0,0.0,0.0,0.0,730.0,0.0,,,0.0,1710.0
2024-04-19,GFGC1860JU,1860.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1860.0
2024-04-19,GFGC2020JU,2020.0,Call,1172.15,7666728.0,1157.11,1192.39,1157.11,0.0,65.0,3.814697265625e-05,0.05255955815678842,0.0,2020.0
2024-04-19,GFGC2100JU,2100.0,Call,1096.528,15048426.0,1089.31,1115.14,1089.31,0.0,136.0,3.814697265625e-05,0.054003132470530055,0.0,2100.0
2024-04-19,GFGC2200JU,2200.0,Call,1021.163,4523713.0,945.0,1029.38,945.0,930.0,46.0,3.814697265625e-05,0.062126123155551896,0.09802473118279575,2200.0
2024-04-19,GFGC2300JU,2300.0,Call,937.692,2309588.0,908.7,961.02,908.7,865.91,25.0,3.814697265625e-05,0.06757629214409365,0.08289776073725919,2300.0
2024-04-19,GFGC2400JU,2400.0,Call,825.0,4809683.0,793.756,876.052,785.0,751.0,57.0,3.814697265625e-05,0.06339131151595087,0.09853528628495334,2400.0
2024-04-19,GFGC2500JU,2500.0,Call,0.0,0.0,0.0,0.0,0.0,603.0,0.0,,,0.0,2500.0
2024-04-19,GFGC2600JU,2600.0,Call,0.0,0.0,0.0,0.0,0.0,594.993,0.0,,,0.0,2600.0
2024-04-19,GFGC2700JU,2700.0,Call,586.67,1327381.0,598.1,604.552,521.1,501.5,23.0,3.814697265625e-05,0.08372599126205588,0.16983050847457615,2700.0
2024-04-19,GFGC2800JU,2800.0,Call,490.0,5658717.0,420.0,513.0,420.0,454.0,115.0,3.814697265625e-05,0.08482400461627236,0.07929515418502198,2800.0
2024-04-19,GFGC2900JU,2900.0,Call,435.332,6667888.0,440.0,458.0,382.834,385.0,158.0,0.26065826416015625,0.09977149451817657,0.13073246753246748,2900.0
2024-04-19,GFGC3000JU,3000.0,Call,359.455,241207240.0,270.0,369.0,270.0,326.294,6941.0,0.27454376220703125,0.10772566152831588,0.10162920556308119,3000.0
2024-04-19,GFGC3150JU,3150.0,Call,269.655,45610561.0,240.0,276.9,236.01,242.5,1702.0,0.31147003173828125,0.0889143516610337,0.11197938144329878,3150.0
2024-04-19,GFGC3300JU,3300.0,Call,190.303,108629418.0,183.0,199.0,164.0,169.263,5921.0,0.31833648681640625,0.06274931992416125,0.12430359854191408,3300.0
2024-04-19,GFGC3450JU,3450.0,Call,130.322,22956931.0,126.475,134.0,111.049,119.381,1796.0,0.32581329345703125,0.04297156046492458,0.09164774964190281,3450.0
